trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'e': 0.2199999999999993, 'a': 0.5}",20,0,27.596692572227163,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'e': 0.2099999999999993, 'a': 0.5}",35,17,-7.327480628704659,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'e': 0.1999999999999993, 'a': 0.5}",25,16,10.820483002510207,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'e': 0.18999999999999928, 'a': 0.5}",25,11,24.540747617799116,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'e': 0.17999999999999927, 'a': 0.5}",25,17,16.445845799246364,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'e': 0.16999999999999926, 'a': 0.5}",25,13,22.987088766722025,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'e': 0.15999999999999925, 'a': 0.5}",25,7,-87.3375750605167,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
85,False,"{'e': 0.14999999999999925, 'a': 0.5}",20,9,10.76997082272322,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'e': 0.13999999999999924, 'a': 0.5}",25,17,14.96367190772005,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'e': 0.12999999999999923, 'a': 0.5}",30,16,1.8606280874117394,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'e': 0.11999999999999923, 'a': 0.5}",20,9,-2.47392586086913,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
89,False,"{'e': 0.10999999999999924, 'a': 0.5}",25,6,7.794643446009044,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'e': 0.09999999999999924, 'a': 0.5}",20,16,8.020567158872915,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'e': 0.08999999999999925, 'a': 0.5}",25,8,27.267255357318625,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'e': 0.07999999999999925, 'a': 0.5}",25,15,20.232057843719545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'e': 0.06999999999999926, 'a': 0.5}",25,9,21.517661604098272,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'e': 0.059999999999999255, 'a': 0.5}",20,5,19.857062752714445,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
